Population,Age,Growth_Rate
Northwest Atlantic Ocean,1,27.13022
Northwest Atlantic Ocean,2,14.54031
Northwest Atlantic Ocean,3,10.65388
Northwest Atlantic Ocean,4,7.80625
Northwest Atlantic Ocean,5,5.71975
Mediterranean Sea,1,26.97178
Mediterranean Sea,2,8.54253
Mediterranean Sea,3,7.35263
Mediterranean Sea,4,6.32846
Mediterranean Sea,5,5.44696
West Indian Ocean,1,31.43445
West Indian Ocean,2,8.36752
West Indian Ocean,3,7.61682
West Indian Ocean,4,6.93346
West Indian Ocean,5,6.3114
East Indian Ocean,1,23.59886
East Indian Ocean,2,13.21644
East Indian Ocean,3,8.31002
East Indian Ocean,4,5.22503
East Indian Ocean,5,3.28531
Southwest Atlantic Ocean,1,15.29773
Southwest Atlantic Ocean,2,16.33499
Southwest Atlantic Ocean,3,11.09295
Southwest Atlantic Ocean,4,7.53312
Southwest Atlantic Ocean,5,5.11568
Southwest Pacific Ocean,1,24.38
Southwest Pacific Ocean,2,9.22407
Southwest Pacific Ocean,3,7.26891
Southwest Pacific Ocean,4,6.48702
Southwest Pacific Ocean,5,6.12082
East Atlantic Ocean,1,21.07504
East Atlantic Ocean,2,16.0469
East Atlantic Ocean,3,12.95381
East Atlantic Ocean,4,10.45694
East Atlantic Ocean,5,8.44134
