FL,Rec_Percentage,Freq
18,0,0
20,0,0
22,0,0
24,0,0
26,0.008235294,7
28,0.085882353,73
30,0.151764706,129
32,0.187058824,159
34,0.152941176,130
36,0.16,136
38,0.082352941,70
40,0.049411765,42
42,0.027058824,23
44,0.036470588,31
46,0.014117647,12
48,0.011764706,10
50,0.009411765,8
52,0.004705882,4
54,0.002352941,2
56,0.002352941,2
58,0.004705882,4
60,0.002352941,2
62,0.002352941,2
64,0,0
66,0,0
68,0.001176471,1
70,0,0
72,0,0
74,0.001176471,1
76,0.001176471,1
80,0.001176471,1
