Length,Prop_2015,Prop_2014,QLD_Rec_Percent,n_fish_QLD_Rec
18,0,0,0,0
20,0,0,0,0
22,0.000100343,0,0.00501716,0.527403859
24,2.51E-05,0.001792411,0.090874834,9.552762576
26,0.000371037,0.002499609,0.143532289,15.08811425
28,0.00392059,0.00421451,0.406754979,42.75808339
30,0.052234341,0.033562495,4.289841784,450.9481683
32,0.200508845,0.151545242,17.60270436,1850.396282
34,0.245707285,0.196384804,22.10460445,2323.63602
36,0.150165123,0.140576359,14.5370741,1528.137229
38,0.13168225,0.146027172,13.8854711,1459.640722
40,0.107126136,0.127034352,11.70802438,1230.747522
42,0.049693468,0.070824418,6.025894306,633.4420094
44,0.02606843,0.055974524,4.102147709,431.2177671
46,0.00792725,0.022215549,1.507139983,158.430555
48,0.007272003,0.019129531,1.32007672,138.7664648
50,0.006598395,0.008597549,0.759797216,79.86988337
52,0.004267168,0.004271503,0.426933546,44.87925436
54,0.002199053,0.001649135,0.192409417,20.22607794
56,0.001462553,0.006539319,0.40009363,42.05784239
58,0.002189302,0.002029042,0.210917211,22.17161722
60,0.000284988,0.00066042,0.047270375,4.969061767
62,9.93E-06,0.000486491,0.024821049,2.609188713
64,9.30E-05,0.000232763,0.016287206,1.712111079
66,9.34E-05,9.80E-05,0.00957068,1.006069855
68,0,0.001790869,0.089543458,9.412808252
70,0,0.001863966,0.093198293,9.797004508
72,0,0,0,0
74,0,0,0,0
76,0,0,0,0
